LSOA21CD,dpi_normalized,Pct of population speaks no or little English normalized,Pct umemp or econo inactive normalized,Pct household deprivation normalized,score
E01000647,8.65,0.15,3.09,3.279172821,15.16917282
E01000648,8.53,0.35,3.44,2.806499261,15.12649926
E01000649,8.41,0.29,4.11,2.363367799,15.1733678
E01000650,7.7,0.23,5.09,3.559822747,16.57982275
E01000651,8.21,0.27,4.42,2.968980798,15.8689808
E01000652,8.13,0.2,4.04,3.677991137,16.04799114
E01000653,7.82,0.24,5.16,2.850812408,16.07081241
E01000654,7.98,0.12,3.57,3.515509601,15.1855096
E01000655,8.73,0.11,3.54,3.796159527,16.17615953
E01000656,8.13,0.08,3.96,3.899556869,16.06955687
E01000657,8.13,0.05,3.82,4.209748892,16.20974889
E01000658,6.83,0.11,5.39,4.859675037,17.18967504
E01000659,8.93,0.13,3.11,3.751846381,15.92184638
E01000661,8.21,0.6,4.34,5.051698671,18.20169867
E01000662,8.17,0.23,3.51,4.23929099,16.14929099
E01000663,6.9,0.38,4.27,5.125553914,16.67555391
E01000664,7.86,0.18,3.79,3.870014771,15.70001477
E01000665,7.66,0.22,3.96,3.618906942,15.45890694
E01000666,7.98,0.14,4.87,3.101920236,16.09192024
E01000667,7.5,0.22,4.59,3.338257016,15.64825702
E01000668,8.77,0.39,3.16,3.737075332,16.05707533
E01000669,8.21,0.26,2.93,3.028064993,14.42806499
E01000670,8.97,0.5,3.68,2.540620384,15.69062038
E01000671,7.82,0.4,3.43,3.692762186,15.34276219
E01000672,8.29,0.31,3.75,2.70310192,15.05310192
E01000673,8.61,0.22,3.09,2.422451994,14.34245199
E01000674,8.65,0.71,3.21,4.135893648,16.70589365
E01034385,8.85,0.44,3.84,3.220088626,16.35008863
E01000676,8.13,1.08,3.65,4.35745938,17.21745938
E01000677,8.41,0.46,2.61,3.101920236,14.58192024
E01000678,8.65,0.38,3.3,2.776957164,15.10695716
E01000679,8.13,0.29,2.74,3.220088626,14.38008863
E01000680,8.13,0.25,4.7,2.954209749,16.03420975
E01000681,8.41,0.15,3.64,2.82127031,15.02127031
E01000682,7.34,0.27,4.8,3.914327917,16.32432792
E01000683,7.82,0.38,3.76,3.692762186,15.65276219
E01000684,8.61,0.1,3.73,2.333825702,14.7738257
E01000685,7.86,0.21,3.7,3.663220089,15.43322009
E01000686,7.58,0.15,4.68,4.416543575,16.82654358
E01000687,7.42,0.28,4.34,3.707533235,15.74753324
E01000688,7.98,0.21,4.16,3.338257016,15.68825702
E01000689,8.73,0.23,4.8,4.963072378,18.72307238
